# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;rosto risonho;lol|rindo|risada|rosto|rosto risonho
	🙋🏻‍♀️;mulher levantando a mão: pele clara;gesto|mão|mulher|mulher levantando a mão|mulher levantando a mão: pele clara|pedir a palavra|pele clara
	🙋🏼‍♀️;mulher levantando a mão: pele morena clara;gesto|mão|mulher|mulher levantando a mão|mulher levantando a mão: pele morena clara|pedir a palavra|pele morena clara
	🙋🏽‍♀️;mulher levantando a mão: pele morena;gesto|mão|mulher|mulher levantando a mão|mulher levantando a mão: pele morena|pedir a palavra|pele morena
	🙋🏾‍♀️;mulher levantando a mão: pele morena escura;gesto|mão|mulher|mulher levantando a mão|mulher levantando a mão: pele morena escura|pedir a palavra|pele morena escura
	🙋🏿‍♀️;mulher levantando a mão: pele escura;gesto|mão|mulher|mulher levantando a mão|mulher levantando a mão: pele escura|pedir a palavra|pele escura
🧏;pessoa surda;acessibilidade|audição|orelha|pessoa surda|surdos
	🧏🏻;pessoa surda: pele clara;acessibilidade|audição|orelha|pele clara|pessoa surda|pessoa surda: pele clara|surdos
	🧏🏼;pessoa surda: pele morena clara;acessibilidade|audição|orelha|pele morena clara|pessoa surda|pessoa surda: pele morena clara|surdos
	🧏🏽;pessoa surda: pele morena;acessibilidade|audição|orelha|pele morena|pessoa surda|pessoa surda: pele morena|surdos
	🧏🏾;pessoa surda: pele morena escura;acessibilidade|audição|orelha|pele morena escura|pessoa surda|pessoa surda: pele morena escura|surdos
	🧏🏿;pessoa surda: pele escura;acessibilidade|audição|orelha|pele escura|pessoa surda|pessoa surda: pele escura|surdos
🧏‍♂️;homem surdo;homem|surdo
	🧏🏻‍♂️;homem surdo: pele clara;homem|homem surdo: pele clara|pele clara|surdo
	🧏🏼‍♂️;homem surdo: pele morena clara;homem|homem surdo: pele morena clara|pele morena clara|surdo
	🧏🏽‍♂️;homem surdo: pele morena;homem|homem surdo: pele morena|pele morena|surdo
	🧏🏾‍♂️;homem surdo: pele morena escura;homem|homem surdo: pele morena escura|pele morena escura|surdo
	🧏🏿‍♂️;homem surdo: pele escura;homem|homem surdo: pele escura|pele escura|surdo
🧏‍♀️;mulher surda;mulher|surda
	🧏🏻‍♀️;mulher surda: pele clara;mulher|mulher surda: pele clara|pele clara|surda
	🧏🏼‍♀️;mulher surda: pele morena clara;mulher|mulher surda: pele morena clara|pele morena clara|surda
	🧏🏽‍♀️;mulher surda: pele morena;mulher|mulher surda: pele morena|pele morena|surda
	🧏🏾‍♀️;mulher surda: pele morena escura;mulher|mulher surda: pele morena escura|pele morena escura|surda
	🧏🏿‍♀️;mulher surda: pele escura;mulher|mulher surda: pele escura|pele escura|surda
🙇;pessoa fazendo reverência;desculpa|gesto|perdão|pessoa|pessoa fazendo reverência|reverência|reverência respeitosa
	🙇🏻;pessoa fazendo reverência: pele clara;desculpa|gesto|pele clara|perdão|pessoa|pessoa fazendo reverência|pessoa fazendo reverência: pele clara|reverência|reverência respeitosa
	🙇🏼;pessoa fazendo reverência: pele morena clara;desculpa|gesto|pele morena clara|perdão|pessoa|pessoa fazendo reverência|pessoa fazendo reverência: pele morena clara|reverência|reverência respeitosa
	🙇🏽;pessoa fazendo reverência: pele morena;desculpa|gesto|pele morena|perdão|pessoa|pessoa fazendo reverência|pessoa fazendo reverência: pele morena|reverência|reverência respeitosa
	🙇🏾;pessoa fazendo reverência: pele morena escura;desculpa|gesto|pele morena escura|perdão|pessoa|pessoa fazendo reverência|pessoa fazendo reverência: pele morena escura|reverência|reverência respeitosa
	🙇🏿;pessoa fazendo reverência: pele escura;desculpa|gesto|pele escura|perdão|pessoa|pessoa fazendo reverência|pessoa fazendo reverência: pele escura|reverência|reverência respeitosa
🙇‍♂️;homem fazendo reverência;desculpas|gesto|homem|homem fazendo reverência|homem pedindo desculpas|respeito|reverência
	🙇🏻‍♂️;homem fazendo reverência: pele clara;desculpas|gesto|homem|homem fazendo reverência|homem fazendo reverência: pele clara|homem pedindo desculpas|pele clara|respeito|reverência
	🙇🏼‍♂️;homem fazendo reverência: pele morena clara;desculpas|gesto|homem|homem fazendo reverência|homem fazendo reverência: pele morena clara|homem pedindo desculpas|pele morena clara|respeito|reverência
	🙇🏽‍♂️;homem fazendo reverência: pele morena;desculpas|gesto|homem|homem fazendo reverência|homem fazendo reverência: pele morena|homem pedindo desculpas|pele morena|respeito|reverência
	🙇🏾‍♂️;homem fazendo reverência: pele morena escura;desculpas|gesto|homem|homem fazendo reverência|homem fazendo reverência: pele morena escura|homem pedindo desculpas|pele morena escura|respeito|reverência
	🙇🏿‍♂️;homem fazendo reverência: pele escura;desculpas|gesto|homem|homem fazendo reverência|homem fazendo reverência: pele escura|homem pedindo desculpas|pele escura|respeito|reverência
🙇‍♀️;mulher fazendo reverência;desculpas|gesto|mulher|mulher fazendo reverência|mulher pedindo desculpas|respeito|reverência
	🙇🏻‍♀️;mulher fazendo reverência: pele clara;desculpas|gesto|mulher|mulher fazendo reverência|mulher fazendo reverência: pele clara|mulher pedindo desculpas|pele clara|respeito|reverência
	🙇🏼‍♀️;mulher fazendo reverência: pele morena clara;desculpas|gesto|mulher|mulher fazendo reverência|mulher fazendo reverência: pele morena clara|mulher pedindo desculpas|pele morena clara|respeito|reverência
	🙇🏽‍♀️;mulher fazendo reverência: pele morena;desculpas|gesto|mulher|mulher fazendo reverência|mulher fazendo reverência: pele morena|mulher pedindo desculpas|pele morena|respeito|reverência
	🙇🏾‍♀️;mulher fazendo reverência: pele morena escura;desculpas|gesto|mulher|mulher fazendo reverência|mulher fazendo reverência: pele morena escura|mulher pedindo desculpas|pele morena escura|respeito|reverência
	🙇🏿‍♀️;mulher fazendo reverência: pele escura;desculpas|gesto|mulher|mulher fazendo reverência|mulher fazendo reverência: pele escura|mulher pedindo desculpas|pele escura|respeito|reverência
🤦;pessoa decepcionada;decepção|desapontamento|pessoa dececionada|pessoa decepcionada
	🤦🏻;pessoa decepcionada: pele clara;decepção|desapontamento|pele clara|pessoa dececionada|pessoa decepcionada|pessoa decepcionada: pele clara
	🤦🏼;pessoa decepcionada: pele morena clara;decepção|desapontamento|pele morena clara|pessoa dececionada|pessoa decepcionada|pessoa decepcionada: pele morena clara
	🤦🏽;pessoa decepcionada: pele morena;decepção|desapontamento|pele morena|pessoa dececionada|pessoa decepcionada|pessoa decepcionada: pele morena
	🤦🏾;pessoa decepcionada: pele morena escura;decepção|desapontamento|pele morena escura|pessoa dececionada|pessoa decepcionada|pessoa decepcionada: pele morena escura
	🤦🏿;pessoa decepcionada: pele escura;decepção|desapontamento|pele escura|pessoa dececionada|pessoa decepcionada|pessoa decepcionada: pele escura
🤦‍♂️;homem decepcionado;decepção|desapontamento|homem|homem decepcionado
	🤦🏻‍♂️;homem decepcionado: pele clara;decepção|desapontamento|homem|homem decepcionado|homem decepcionado: pele clara|pele clara
	🤦🏼‍♂️;homem decepcionado: pele morena clara;decepção|desapontamento|homem|homem decepcionado|homem decepcionado: pele morena clara|pele morena clara
	🤦🏽‍♂️;homem decepcionado: pele morena;decepção|desapontamento|homem|homem decepcionado|homem decepcionado: pele morena|pele morena
	🤦🏾‍♂️;homem decepcionado: pele morena escura;decepção|desapontamento|homem|homem decepcionado|homem decepcionado: pele morena escura|pele morena escura
	🤦🏿‍♂️;homem decepcionado: pele escura;decepção|desapontamento|homem|homem decepcionado|homem decepcionado: pele escura|pele escura
🤦‍♀️;mulher decepcionada;decepção|desapontamento|mulher|mulher decepcionada
	🤦🏻‍♀️;mulher decepcionada: pele clara;decepção|desapontamento|mulher|mulher decepcionada|mulher decepcionada: pele clara|pele clara
	🤦🏼‍♀️;mulher decepcionada: pele morena clara;decepção|desapontamento|mulher|mulher decepcionada|mulher decepcionada: pele morena clara|pele morena clara
	🤦🏽‍♀️;mulher decepcionada: pele morena;decepção|desapontamento|mulher|mulher decepcionada|mulher decepcionada: pele morena|pele morena
	🤦🏾‍♀️;mulher decepcionada: pele morena escura;decepção|desapontamento|mulher|mulher decepcionada|mulher decepcionada: pele morena escura|pele morena escura
	🤦🏿‍♀️;mulher decepcionada: pele escura;decepção|desapontamento|mulher|mulher decepcionada|mulher decepcionada: pele escura|pele escura
🤷;pessoa dando de ombros;dar de ombros|ignorância|indiferença|ombros|pessoa dando de ombros
	🤷🏻;pessoa dando de ombros: pele clara;dar de ombros|ignorância|indiferença|ombros|pele clara|pessoa dando de ombros|pessoa dando de ombros: pele clara
	🤷🏼;pessoa dando de ombros: pele morena clara;dar de ombros|ignorância|indiferença|ombros|pele morena clara|pessoa dando de ombros|pessoa dando de ombros: pele morena clara
	🤷🏽;pessoa dando de ombros: pele morena;dar de ombros|ignorância|indiferença|ombros|pele morena|pessoa dando de ombros|pessoa dando de ombros: pele morena
	🤷🏾;pessoa dando de ombros: pele morena escura;dar de ombros|ignorância|indiferença|ombros|pele morena escura|pessoa dando de ombros|pessoa dando de ombros: pele morena escura
	🤷🏿;pessoa dando de ombros: pele escura;dar de ombros|ignorância|indiferença|ombros|pele escura|pessoa dando de ombros|pessoa dando de ombros: pele escura
🤷‍♂️;homem dando de ombros;dar de ombros|homem|homem dando de ombros|indiferença
	🤷🏻‍♂️;homem dando de ombros: pele clara;dar de ombros|homem|homem dando de ombros|homem dando de ombros: pele clara|indiferença|pele clara
	🤷🏼‍♂️;homem dando de ombros: pele morena clara;dar de ombros|homem|homem dando de ombros|homem dando de ombros: pele morena clara|indiferença|pele morena clara
	🤷🏽‍♂️;homem dando de ombros: pele morena;dar de ombros|homem|homem dando de ombros|homem dando de ombros: pele morena|indiferença|pele morena
	🤷🏾‍♂️;homem dando de ombros: pele morena escura;dar de ombros|homem|homem dando de ombros|homem dando de ombros: pele morena escura|indiferença|pele morena escura
	🤷🏿‍♂️;homem dando de ombros: pele escura;dar de ombros|homem|homem dando de ombros|homem dando de ombros: pele escura|indiferença|pele escura
🤷‍♀️;mulher dando de ombros;dar de ombros|indiferença|mulher|mulher dando de ombros
	🤷🏻‍♀️;mulher dando de ombros: pele clara;dar de ombros|indiferença|mulher|mulher dando de ombros|mulher dando de ombros: pele clara|pele clara
	🤷🏼‍♀️;mulher dando de ombros: pele morena clara;dar de ombros|indiferença|mulher|mulher dando de ombros|mulher dando de ombros: pele morena clara|pele morena clara
	🤷🏽‍♀️;mulher dando de ombros: pele morena;dar de ombros|indiferença|mulher|mulher dando de ombros|mulher dando de ombros: pele morena|pele morena
	🤷🏾‍♀️;mulher dando de ombros: pele morena escura;dar de ombros|indiferença|mulher|mulher dando de ombros|mulher dando de ombros: pele morena escura|pele morena escura
	🤷🏿‍♀️;mulher dando de ombros: pele escura;dar de ombros|indiferença|mulher|mulher dando de ombros|mulher dando de ombros: pele escura|pele escura
🧑‍⚕️;profissional de saúde;cuidados de saúde|enfermeira|médico|profissional de saúde|terapeuta
	🧑🏻‍⚕️;profissional de saúde: pele clara;cuidados de saúde|enfermeira|médico|pele clara|profissional de saúde|profissional de saúde: pele clara|terapeuta
	🧑🏼‍⚕️;profissional de saúde: pele morena clara;cuidados de saúde|enfermeira|médico|pele morena clara|profissional de saúde|profissional de saúde: pele morena clara|terapeuta
	🧑🏽‍⚕️;profissional de saúde: pele morena;cuidados de saúde|enfermeira|médico|pele morena|profissional de saúde|profissional de saúde: pele morena|terapeuta
	🧑🏾‍⚕️;profissional de saúde: pele morena escura;cuidados de saúde|enfermeira|médico|pele morena escura|profissional de saúde|profissional de saúde: pele morena escura|terapeuta
	🧑🏿‍⚕️;profissional de saúde: pele escura;cuidados de saúde|enfermeira|médico|pele escura|profissional de saúde|profissional de saúde: pele escura|terapeuta
👨‍⚕️;homem profissional da saúde;doutor|enfermeiro|homem|homem profissional da saúde|médico|saúde|terapeuta
	👨🏻‍⚕️;homem profissional da saúde: pele clara;doutor|enfermeiro|homem|homem profissional da saúde|homem profissional da saúde: pele clara|médico|pele clara|saúde|terapeuta
	👨🏼‍⚕️;homem profissional da saúde: pele morena clara;doutor|enfermeiro|homem|homem profissional da saúde|homem profissional da saúde: pele morena clara|médico|pele morena clara|saúde|terapeuta
	👨🏽‍⚕️;homem profissional da saúde: pele morena;doutor|enfermeiro|homem|homem profissional da saúde|homem profissional da saúde: pele morena|médico|pele morena|saúde|terapeuta
	👨🏾‍⚕️;homem profissional da saúde: pele morena escura;doutor|enfermeiro|homem|homem profissional da saúde|homem profissional da saúde: pele morena escura|médico|pele morena escura|saúde|terapeuta
	👨🏿‍⚕️;homem profissional da saúde: pele escura;doutor|enfermeiro|homem|homem profissional da saúde|homem profissional da saúde: pele escura|médico|pele escura|saúde|terapeuta
👩‍⚕️;mulher profissional da saúde;doutora|enfermeira|médica|mulher|mulher profissional da saúde|saúde|terapeuta
	👩🏻‍⚕️;mulher profissional da saúde: pele clara;doutora|enfermeira|médica|mulher|mulher profissional da saúde|mulher profissional da saúde: pele clara|pele clara|saúde|terapeuta
	👩🏼‍⚕️;mulher profissional da saúde: pele morena clara;doutora|enfermeira|médica|mulher|mulher profissional da saúde|mulher profissional da saúde: pele morena clara|pele morena clara|saúde|terapeuta
	👩🏽‍⚕️;mulher profissional da saúde: pele morena;doutora|enfermeira|médica|mulher|mulher profissional da saúde|mulher profissional da saúde: pele morena|pele morena|saúde|terapeuta
	👩🏾‍⚕️;mulher profissional da saúde: pele morena escura;doutora|enfermeira|médica|mulher|mulher profissional da saúde|mulher profissional da saúde: pele morena escura|pele morena escura|saúde|terapeuta
	👩🏿‍⚕️;mulher profissional da saúde: pele escura;doutora|enfermeira|médica|mulher|mulher profissional da saúde|mulher profissional da saúde: pele escura|pele escura|saúde|terapeuta
🧑‍🎓;aluno;aluno|estudante|graduando
	🧑🏻‍🎓;aluno: pele clara;aluno|aluno: pele clara|estudante|graduando|pele clara
	🧑🏼‍🎓;aluno: pele morena clara;aluno|aluno: pele morena clara|estudante|graduando|pele morena clara
	🧑🏽‍🎓;aluno: pele morena;aluno|aluno: pele morena|estudante|graduando|pele morena
	🧑🏾‍🎓;aluno: pele morena escura;aluno|aluno: pele morena escura|estudante|graduando|pele morena escura
	🧑🏿‍🎓;aluno: pele escura;aluno|aluno: pele escura|estudante|graduando|pele escura
👨‍🎓;estudante;aluno|estudante|formando|homem
	👨🏻‍🎓;estudante: pele clara;aluno|estudante|estudante: pele clara|formando|homem|pele clara
	👨🏼‍🎓;estudante: pele morena clara;aluno|estudante|estudante: pele morena clara|formando|homem|pele morena clara
	👨🏽‍🎓;estudante: pele morena;aluno|estudante|estudante: pele morena|formando|homem|pele morena
	👨🏾‍🎓;estudante: pele morena escura;aluno|estudante|estudante: pele morena escura|formando|homem|pele morena escura
	👨🏿‍🎓;estudante: pele escura;aluno|estudante|estudante: pele escura|formando|homem|pele escura
👩‍🎓;aluna;aluna|estudante|formanda|mulher
	👩🏻‍🎓;aluna: pele clara;aluna|aluna: pele clara|estudante|formanda|mulher|pele clara
	👩🏼‍🎓;aluna: pele morena clara;aluna|aluna: pele morena clara|estudante|formanda|mulher|pele morena clara
	👩🏽‍🎓;aluna: pele morena;aluna|aluna: pele morena|estudante|formanda|mulher|pele morena
	👩🏾‍🎓;aluna: pele morena escura;aluna|aluna: pele morena escura|estudante|formanda|mulher|pele morena escura
	👩🏿‍🎓;aluna: pele escura;aluna|aluna: pele escura|estudante|formanda|mulher|pele escura
🧑‍🏫;professora na escola;instrutora|professora|professora na escola
	🧑🏻‍🏫;professora na escola: pele clara;instrutora|pele clara|professora|professora na escola|professora na escola: pele clara
	🧑🏼‍🏫;professora na escola: pele morena clara;instrutora|pele morena clara|professora|professora na escola|professora na escola: pele morena clara
	🧑🏽‍🏫;professora na escola: pele morena;instrutora|pele morena|professora|professora na escola|professora na escola: pele morena
	🧑🏾‍🏫;professora na escola: pele morena escura;instrutora|pele morena escura|professora|professora na escola|professora na escola: pele morena escura
	🧑🏿‍🏫;professora na escola: pele escura;instrutora|pele escura|professora|professora na escola|professora na escola: pele escura
👨‍🏫;professor;homem|instrutor|mestre|professor
	👨🏻‍🏫;professor: pele clara;homem|instrutor|mestre|pele clara|professor|professor: pele clara
	👨🏼‍🏫;professor: pele morena clara;homem|instrutor|mestre|pele morena clara|professor|professor: pele morena clara
	👨🏽‍🏫;professor: pele morena;homem|instrutor|mestre|pele morena|professor|professor: pele morena
	👨🏾‍🏫;professor: pele morena escura;homem|instrutor|mestre|pele morena escura|professor|professor: pele morena escura
	👨🏿‍🏫;professor: pele escura;homem|instrutor|mestre|pele escura|professor|professor: pele escura
👩‍🏫;professora;instrutora|mestra|mulher|professora
	👩🏻‍🏫;professora: pele clara;instrutora|mestra|mulher|pele clara|professora|professora: pele clara
	👩🏼‍🏫;professora: pele morena clara;instrutora|mestra|mulher|pele morena clara|professora|professora: pele morena clara
	👩🏽‍🏫;professora: pele morena;instrutora|mestra|mulher|pele morena|professora|professora: pele morena
	👩🏾‍🏫;professora: pele morena escura;instrutora|mestra|mulher|pele morena escura|professora|professora: pele morena escura
	👩🏿‍🏫;professora: pele escura;instrutora|mestra|mulher|pele escura|professora|professora: pele escura
🧑‍⚖️;juiz no tribunal;balança|juiz|juiz no tribunal
	🧑🏻‍⚖️;juiz no tribunal: pele clara;balança|juiz|juiz no tribunal|juiz no tribunal: pele clara|pele clara
	🧑🏼‍⚖️;juiz no tribunal: pele morena clara;balança|juiz|juiz no tribunal|juiz no tribunal: pele morena clara|pele morena clara
	🧑🏽‍⚖️;juiz no tribunal: pele morena;balança|juiz|juiz no tribunal|juiz no tribunal: pele morena|pele morena
	🧑🏾‍⚖️;juiz no tribunal: pele morena escura;balança|juiz|juiz no tribunal|juiz no tribunal: pele morena escura|pele morena escura
	🧑🏿‍⚖️;juiz no tribunal: pele escura;balança|juiz|juiz no tribunal|juiz no tribunal: pele escura|pele escura
👨‍⚖️;juiz;balança|homem|juiz|justiça
	👨🏻‍⚖️;juiz: pele clara;balança|homem|juiz|juiz: pele clara|justiça|pele clara
	👨🏼‍⚖️;juiz: pele morena clara;balança|homem|juiz|juiz: pele morena clara|justiça|pele morena clara
	👨🏽‍⚖️;juiz: pele morena;balança|homem|juiz|juiz: pele morena|justiça|pele morena
	👨🏾‍⚖️;juiz: pele morena escura;balança|homem|juiz|juiz: pele morena escura|justiça|pele morena escura
	👨🏿‍⚖️;juiz: pele escura;balança|homem|juiz|juiz: pele escura|justiça|pele escura
👩‍⚖️;juíza;balança|juíza|justiça|mulher
	👩🏻‍⚖️;juíza: pele clara;balança|juíza|juíza: pele clara|justiça|mulher|pele clara
	👩🏼‍⚖️;juíza: pele morena clara;balança|juíza|juíza: pele morena clara|justiça|mulher|pele morena clara
	👩🏽‍⚖️;juíza: pele morena;balança|juíza|juíza: pele morena|justiça|mulher|pele morena
	👩🏾‍⚖️;juíza: pele morena escura;balança|juíza|juíza: pele morena escura|justiça|mulher|pele morena escura
	👩🏿‍⚖️;juíza: pele escura;balança|juíza|juíza: pele escura|justiça|mulher|pele escura
🧑‍🌾;agricultor;agricultor|jardineiro|rancheiro
	🧑🏻‍🌾;agricultor: pele clara;agricultor|agricultor: pele clara|jardineiro|pele clara|rancheiro
	🧑🏼‍🌾;agricultor: pele morena clara;agricultor|agricultor: pele morena clara|jardineiro|pele morena clara|rancheiro
	🧑🏽‍🌾;agricultor: pele morena;agricultor|agricultor: pele morena|jardineiro|pele morena|rancheiro
	🧑🏾‍🌾;agricultor: pele morena escura;agricultor|agricultor: pele morena escura|jardineiro|pele morena escura|rancheiro
	🧑🏿‍🌾;agricultor: pele escura;agricultor|agricultor: pele escura|jardineiro|pele escura|rancheiro
👨‍🌾;fazendeiro;agricultor|fazendeiro|homem|jardineiro
	👨🏻‍🌾;fazendeiro: pele clara;agricultor|fazendeiro|fazendeiro: pele clara|homem|jardineiro|pele clara
	👨🏼‍🌾;fazendeiro: pele morena clara;agricultor|fazendeiro|fazendeiro: pele morena clara|homem|jardineiro|pele morena clara
	👨🏽‍🌾;fazendeiro: pele morena;agricultor|fazendeiro|fazendeiro: pele morena|homem|jardineiro|pele morena
	👨🏾‍🌾;fazendeiro: pele morena escura;agricultor|fazendeiro|fazendeiro: pele morena escura|homem|jardineiro|pele morena escura
	👨🏿‍🌾;fazendeiro: pele escura;agricultor|fazendeiro|fazendeiro: pele escura|homem|jardineiro|pele escura
👩‍🌾;fazendeira;agricultora|fazendeira|jardineira|mulher
	👩🏻‍🌾;fazendeira: pele clara;agricultora|fazendeira|fazendeira: pele clara|jardineira|mulher|pele clara
	👩🏼‍🌾;fazendeira: pele morena clara;agricultora|fazendeira|fazendeira: pele morena clara|jardineira|mulher|pele morena clara
	👩🏽‍🌾;fazendeira: pele morena;agricultora|fazendeira|fazendeira: pele morena|jardineira|mulher|pele morena
	👩🏾‍🌾;fazendeira: pele morena escura;agricultora|fazendeira|fazendeira: pele morena escura|jardineira|mulher|pele morena escura
	👩🏿‍🌾;fazendeira: pele escura;agricultora|fazendeira|fazendeira: pele escura|jardineira|mulher|pele escura
🧑‍🍳;chef de cozinha;chef|chef de cozinha|cozinheiro
	🧑🏻‍🍳;chef de cozinha: pele clara;chef|chef de cozinha|chef de cozinha: pele clara|cozinheiro|pele clara
	🧑🏼‍🍳;chef de cozinha: pele morena clara;chef|chef de cozinha|chef de cozinha: pele morena clara|cozinheiro|pele morena clara
	🧑🏽‍🍳;chef de cozinha: pele morena;chef|chef de cozinha|chef de cozinha: pele morena|cozinheiro|pele morena
	🧑🏾‍🍳;chef de cozinha: pele morena escura;chef|chef de cozinha|chef de cozinha: pele morena escura|cozinheiro|pele morena escura
	🧑🏿‍🍳;chef de cozinha: pele escura;chef|chef de cozinha|chef de cozinha: pele escura|cozinheiro|pele escura
👨‍🍳;cozinheiro;chef|cozinheiro|homem
	👨🏻‍🍳;cozinheiro: pele clara;chef|cozinheiro|cozinheiro: pele clara|homem|pele clara
	👨🏼‍🍳;cozinheiro: pele morena clara;chef|cozinheiro|cozinheiro: pele morena clara|homem|pele morena clara
	👨🏽‍🍳;cozinheiro: pele morena;chef|cozinheiro|cozinheiro: pele morena|homem|pele morena
	👨🏾‍🍳;cozinheiro: pele morena escura;chef|cozinheiro|cozinheiro: pele morena escura|homem|pele morena escura
	👨🏿‍🍳;cozinheiro: pele escura;chef|cozinheiro|cozinheiro: pele escura|homem|pele escura
👩‍🍳;cozinheira;chef|cozinheira|mulher
	👩🏻‍🍳;cozinheira: pele clara;chef|cozinheira|cozinheira: pele clara|mulher|pele clara
	👩🏼‍🍳;cozinheira: pele morena clara;chef|cozinheira|cozinheira: pele morena clara|mulher|pele morena clara
	👩🏽‍🍳;cozinheira: pele morena;chef|cozinheira|cozinheira: pele morena|mulher|pele morena
	👩🏾‍🍳;cozinheira: pele morena escura;chef|cozinheira|cozinheira: pele morena escura|mulher|pele morena escura
	👩🏿‍🍳;cozinheira: pele escura;chef|cozinheira|cozinheira: pele escura|mulher|pele escura
🧑‍🔧;mecânico trabalhando;eletricista|encanador|mecânico|mecânico trabalhando|prestador de serviço
	🧑🏻‍🔧;mecânico trabalhando: pele clara;eletricista|encanador|mecânico|mecânico trabalhando|mecânico trabalhando: pele clara|pele clara|prestador de serviço
	🧑🏼‍🔧;mecânico trabalhando: pele morena clara;eletricista|encanador|mecânico|mecânico trabalhando|mecânico trabalhando: pele morena clara|pele morena clara|prestador de serviço
	🧑🏽‍🔧;mecânico trabalhando: pele morena;eletricista|encanador|mecânico|mecânico trabalhando|mecânico trabalhando: pele morena|pele morena|prestador de serviço
	🧑🏾‍🔧;mecânico trabalhando: pele morena escura;eletricista|encanador|mecânico|mecânico trabalhando|mecânico trabalhando: pele morena escura|pele morena escura|prestador de serviço
	🧑🏿‍🔧;mecânico trabalhando: pele escura;eletricista|encanador|mecânico|mecânico trabalhando|mecânico trabalhando: pele escura|pele escura|prestador de serviço
👨‍🔧;mecânico;eletricista|encanador|homem|mecânico|prestador de serviços
	👨🏻‍🔧;mecânico: pele clara;eletricista|encanador|homem|mecânico|mecânico: pele clara|pele clara|prestador de serviços
	👨🏼‍🔧;mecânico: pele morena clara;eletricista|encanador|homem|mecânico|mecânico: pele morena clara|pele morena clara|prestador de serviços
	👨🏽‍🔧;mecânico: pele morena;eletricista|encanador|homem|mecânico|mecânico: pele morena|pele morena|prestador de serviços
	👨🏾‍🔧;mecânico: pele morena escura;eletricista|encanador|homem|mecânico|mecânico: pele morena escura|pele morena escura|prestador de serviços
	👨🏿‍🔧;mecânico: pele escura;eletricista|encanador|homem|mecânico|mecânico: pele escura|pele escura|prestador de serviços
👩‍🔧;mecânica;eletricista|encanadora|mecânica|mulher|prestadora de serviços
	👩🏻‍🔧;mecânica: pele clara;eletricista|encanadora|mecânica|mecânica: pele clara|mulher|pele clara|prestadora de serviços
	👩🏼‍🔧;mecânica: pele morena clara;eletricista|encanadora|mecânica|mecânica: pele morena clara|mulher|pele morena clara|prestadora de serviços
	👩🏽‍🔧;mecânica: pele morena;eletricista|encanadora|mecânica|mecânica: pele morena|mulher|pele morena|prestadora de serviços
	👩🏾‍🔧;mecânica: pele morena escura;eletricista|encanadora|mecânica|mecânica: pele morena escura|mulher|pele morena escura|prestadora de serviços
	👩🏿‍🔧;mecânica: pele escura;eletricista|encanadora|mecânica|mecânica: pele escura|mulher|pele escura|prestadora de serviços
🧑‍🏭;funcionário de fábrica;fábrica|funcionário de fábrica|industrial|montagem|trabalhador
	🧑🏻‍🏭;funcionário de fábrica: pele clara;fábrica|funcionário de fábrica|funcionário de fábrica: pele clara|industrial|montagem|pele clara|trabalhador
	🧑🏼‍🏭;funcionário de fábrica: pele morena clara;fábrica|funcionário de fábrica|funcionário de fábrica: pele morena clara|industrial|montagem|pele morena clara|trabalhador
	🧑🏽‍🏭;funcionário de fábrica: pele morena;fábrica|funcionário de fábrica|funcionário de fábrica: pele morena|industrial|montagem|pele morena|trabalhador
	🧑🏾‍🏭;funcionário de fábrica: pele morena escura;fábrica|funcionário de fábrica|funcionário de fábrica: pele morena escura|industrial|montagem|pele morena escura|trabalhador
	🧑🏿‍🏭;funcionário de fábrica: pele escura;fábrica|funcionário de fábrica|funcionário de fábrica: pele escura|industrial|montagem|pele escura|trabalhador
👨‍🏭;operário;fábrica|homem|indústria|operário|trabalhador
	👨🏻‍🏭;operário: pele clara;fábrica|homem|indústria|operário|operário: pele clara|pele clara|trabalhador
	👨🏼‍🏭;operário: pele morena clara;fábrica|homem|indústria|operário|operário: pele morena clara|pele morena clara|trabalhador
	👨🏽‍🏭;operário: pele morena;fábrica|homem|indústria|operário|operário: pele morena|pele morena|trabalhador
	👨🏾‍🏭;operário: pele morena escura;fábrica|homem|indústria|operário|operário: pele morena escura|pele morena escura|trabalhador
	👨🏿‍🏭;operário: pele escura;fábrica|homem|indústria|operário|operário: pele escura|pele escura|trabalhador
👩‍🏭;operária;fábrica|indústria|mulher|operária|trabalhadora
	👩🏻‍🏭;operária: pele clara;fábrica|indústria|mulher|operária|operária: pele clara|pele clara|trabalhadora
	👩🏼‍🏭;operária: pele morena clara;fábrica|indústria|mulher|operária|operária: pele morena clara|pele morena clara|trabalhadora
	👩🏽‍🏭;operária: pele morena;fábrica|indústria|mulher|operária|operária: pele morena|pele morena|trabalhadora
	👩🏾‍🏭;operária: pele morena escura;fábrica|indústria|mulher|operária|operária: pele morena escura|pele morena escura|trabalhadora
	👩🏿‍🏭;operária: pele escura;fábrica|indústria|mulher|operária|operária: pele escura|pele escura|trabalhadora
🧑‍💼;trabalhador de escritório;arquiteto|colarinho branco|gerente|negócios|trabalhador de escritório
	🧑🏻‍💼;trabalhador de escritório: pele clara;arquiteto|colarinho branco|gerente|negócios|pele clara|trabalhador de escritório|trabalhador de escritório: pele clara
